id;scope;group;territory;parent_region;title;quality;availability;period;temporal_status;pages;size_bytes;sha256;source_filename;pdf_url;original_url;official_url;act;revision;quality_note
regional-altaiskii-krai;regional;regional;Алтайский край;;Региональная программа по повышению рождаемости: Алтайский край;full;available;2023-2025 годы;historical;53;1175157;35ee7dabdc39b71970bddb87fbe85c9fb0d32dd01372147de971a69dfe3305c4;Алтайском крае.pdf;./documents/strategies/regional/regional-altaiskii-krai.pdf;;;Постановление Правительства Алтайского края от 18 декабря 2024 г. № 494;;
regional-amurskaia-oblast;regional;regional;Амурская область;;Региональная программа по повышению рождаемости: Амурская область;full;available;период не установлен;undated;84;5136000;8bc02286a7cf0f7ed272b611b7100a7eac873f8a63ded0877cf9f8bd3566d077;Амурской области.pdf;./documents/strategies/regional/regional-amurskaia-oblast.pdf;;;Постановление Правительства Амурской области от 10 июля 2023 г. № 602;20 декабря 2024 года;
regional-arkhangelskaia-oblast;regional;regional;Архангельская область;;Региональная программа по повышению рождаемости: Архангельская область;full;available;2024-2027 годы;active;99;4553338;8a9d518f19ebfd4e8355dc2d80bbd150236d75003223e39c193a51a61b791efe;Архангельской области на 2024 - 2027 годы.pdf;./documents/strategies/regional/regional-arkhangelskaia-oblast.pdf;;;Постановление Правительства Архангельской области от 28 июня 2023 г. № 575-пп;11 апреля 2025 года;
regional-astrakhanskaia-oblast;regional;regional;Астраханская область;;Региональная программа по повышению рождаемости: Астраханская область;full;available;период не установлен;undated;75;5508003;cf05683f099a53ae11331c094d686441e207a00257b98c917a778ac45853fc67;Астраханская область.pdf;./documents/strategies/regional/regional-astrakhanskaia-oblast.pdf;;;Постановление Правительства Астраханской области от 06 июля 2023 г. № 376-П;24 ноября 2023 года;
regional-belgorodskaia-oblast;regional;regional;Белгородская область;;Региональная программа по повышению рождаемости: Белгородская область;full;available;2021-2025 годы;historical;90;5123008;b2faffb5c23e9dd656f9dcb8cce9c1d98b94b65695c662e9dc2218161c337ce6;Белгородской области.pdf;./documents/strategies/regional/regional-belgorodskaia-oblast.pdf;;;Постановление Правительства Белгородской области от 28 июня 2023 г. № 341-пп;23 декабря 2024 года;
regional-brianskaia-oblast;regional;regional;Брянская область;;Региональная программа по повышению рождаемости: Брянская область;full;available;до 2030 года;active;50;1785720;fc51bd2df7e24fa73664e3c6eec1f0405ef7cfbcf89b234fa76300a8a74d7e93;Брянской области.pdf;./documents/strategies/regional/regional-brianskaia-oblast.pdf;;;Постановление Правительства Брянской области от 29 июня 2023 г. № 270-п;23 декабря 2024 года;
regional-vladimirskaia-oblast;regional;regional;Владимирская область;;Региональная программа по повышению рождаемости: Владимирская область;full;available;2024-2027 годы;active;65;3917687;4aa0119ce0a17cea6fb3dba9b1fd39c1dcbd80d933af5da63e9efafa6c52b3e9;Владимирской области на 2024 - 2027 гг.pdf;./documents/strategies/regional/regional-vladimirskaia-oblast.pdf;;;Распоряжение Правительства Владимирской области от 20 декабря 2024 г. № 825-р;;
regional-volgogradskaia-oblast;regional;regional;Волгоградская область;;Региональная программа по повышению рождаемости: Волгоградская область;unavailable;unavailable;период не установлен;undated;;0;;Волгоградской области на 2024-2027 годы (НЕТ ТЕКСТА).txt;;;;;;В архиве присутствует только пустая отметка «нет текста».
regional-vologodskaia-oblast;regional;regional;Вологодская область;;Региональная программа по повышению рождаемости: Вологодская область;partial;available;2024-2027 годы;active;74;665425;b4ecb4b1e9acc9105cd7bb7e81e5bdda537fac7c79f394aa03538556643fa552;Вологодской области (НЕТ ТЕКСТА).docx;./documents/strategies/regional/regional-vologodskaia-oblast.pdf;./documents/strategies/source/regional-vologodskaia-oblast.docx;;ПОСТАНОВЛЕНИЕ От __________________ № _______________ Г. Вологда О внесении изменений в постановление Правительства области от 23 июня 2023 года № 708;;"Передан проект изменений и незаполненные фрагменты таблиц; документ не является завершённым полным текстом программы."
regional-voronezhskaia-oblast;regional;regional;Воронежская область;;Региональная программа по повышению рождаемости: Воронежская область;full;available;до 2036 года;active;117;3501041;d4f883f7b28e03405d353d0536c1161ad4c628e087258a818bebce6692ae85d7;Воронежской области.docx;./documents/strategies/regional/regional-voronezhskaia-oblast.pdf;./documents/strategies/source/regional-voronezhskaia-oblast.docx;;РАСПОРЯЖЕНИЕ от 19 декабря 2024 г. № 1029-р;;
regional-donetskaia-narodnaia-respublika;regional;regional;Донецкая Народная Республика;;Региональная программа по повышению рождаемости: Донецкая Народная Республика;missing;missing;период не установлен;undated;;0;;;;;;;;Документ по субъекту не представлен в переданном архиве.
regional-evreiskaia-avtonomnaia-oblast;regional;regional;Еврейская автономная область;;Региональная программа по повышению рождаемости: Еврейская автономная область;full;available;2023-2027 годы;active;65;1460971;5bf4adecff6ecba8e6561e408524e5de826413ebca4ee8f66de99ede291abea4;Еврейской автономной области на 2023 - 2027 годы.pdf;./documents/strategies/regional/regional-evreiskaia-avtonomnaia-oblast.pdf;;;Распоряжение Правительства Еврейской автономной области от 30 июня 2023 г. № 276-рп;18 июня 2025 года;
regional-zabaikalskii-krai;regional;regional;Забайкальский край;;Региональная программа по повышению рождаемости: Забайкальский край;full;available;период не установлен;undated;53;2298768;50cd5e54771bb41ff5846d34a22c7b8f2eccd3633d2bd587448026edc4439d57;Забайкальского края.pdf;./documents/strategies/regional/regional-zabaikalskii-krai.pdf;;;Постановление Правительства Забайкальского края от 28 июня 2023 г. № 321;;
regional-zaporozhskaia-oblast;regional;regional;Запорожская область;;Региональная программа по повышению рождаемости: Запорожская область;missing;missing;период не установлен;undated;;0;;;;;;;;Документ по субъекту не представлен в переданном архиве.
regional-ivanovskaia-oblast;regional;regional;Ивановская область;;Региональная программа по повышению рождаемости: Ивановская область;full;available;2025-2027 годы;active;47;1561290;e70664e9eff5461edd69d6fea27e1dfadfb8d526b55f961fdce9437a1be34666;Ивановской области на 2025 - 2027 годы.pdf;./documents/strategies/regional/regional-ivanovskaia-oblast.pdf;;;Постановление Правительства Ивановской области от 25 декабря 2024 г. № 662-п;;
regional-irkutskaia-oblast;regional;regional;Иркутская область;;Региональная программа по повышению рождаемости: Иркутская область;full;available;2024-2027 годы;active;96;3824194;24caf808d420caaeb4fce5d84e36c382af3f8950bf86b308dd3a4b1975c28d9f;Иркутской области на 2024 - 2027 годы.pdf;./documents/strategies/regional/regional-irkutskaia-oblast.pdf;;;Распоряжение Правительства Иркутской области от 29 июня 2023 г. № 443-рп;23 Страница 1 декабря 2024 года;
regional-kabardino-balkarskaia-respublika;regional;regional;Кабардино-Балкарская Республика;;Региональная программа по повышению рождаемости: Кабардино-Балкарская Республика;full;available;2024-2027 годы;active;25;1352924;d4c65f22c8e712cf0c946eca20c1316bc01a3d332190fe5cd25430418679ce2f;Кабардино-Балкарской Республике на период 2024 - 2027 годов.pdf;./documents/strategies/regional/regional-kabardino-balkarskaia-respublika.pdf;;;Распоряжение Правительства Кабардино-Балкарской Республики от 24 января 2025 г. № 14-рп;;
regional-kaliningradskaia-oblast;regional;regional;Калининградская область;;Региональная программа по повышению рождаемости: Калининградская область;full;available;2023-2030 годы;active;111;9539164;7d5be920518fce1b6f857977858ed0d7e698cb3838aa1e13d9490f9135bcfcf3;Калининградской области 2023-2030 годов.pdf;./documents/strategies/regional/regional-kaliningradskaia-oblast.pdf;;;Постановление Правительства Калининградской области от 07 июля 2023 г. № 302;25 декабря 2024 года;
regional-kaluzhskaia-oblast;regional;regional;Калужская область;;Региональная программа по повышению рождаемости: Калужская область;full;available;2023-2027 годы;active;89;7569331;cdffd4d0f1cabda3dd9f3b6d0c9211bd88d2f623a4b213d17787e7afc2528c4b;КАЛУЖСКОЙ ОБЛАСТИ.pdf;./documents/strategies/regional/regional-kaluzhskaia-oblast.pdf;;;Постановление Правительства Калужской области от 28 июня 2023 г. № 452;24 декабря 2024 года;
regional-kamchatskii-krai;regional;regional;Камчатский край;;Региональная программа по повышению рождаемости: Камчатский край;unavailable;unavailable;период не установлен;undated;;0;;Камчатском крае (НЕТ ТЕКСТА).txt;;;;;;В архиве присутствует только пустая отметка «нет текста».
regional-karachaevo-cherkesskaia-respublika;regional;regional;Карачаево-Черкесская Республика;;Региональная программа по повышению рождаемости: Карачаево-Черкесская Республика;full;available;период не установлен;undated;46;1691043;4ca0df010d98135efe64b51d47924c8276f157aa174b6387d8989da9d4d4ecb7;Карачаево-Черкесской Республике.pdf;./documents/strategies/regional/regional-karachaevo-cherkesskaia-respublika.pdf;;;Постановление Правительства Карачаево-Черкесской Республики от 30 июня 2023 г. № 165;23 декабря 2024 года;
regional-kemerovskaia-oblast-kuzbass;regional;regional;Кемеровская область — Кузбасс;;Региональная программа по повышению рождаемости: Кемеровская область — Кузбасс;full;available;2023-2030 годы;active;77;8578817;aa24e732cddc9857d90059be43f8c1aa903adcfe16689e4ca32111bf71f37cbd;Кемеровской области - Кузбасса 2023 - 2030 годов.pdf;./documents/strategies/regional/regional-kemerovskaia-oblast-kuzbass.pdf;;;Постановление Правительства Кемеровской области - Кузбасса от 30 июня 2023 г. № 436;20 декабря 2024 Страница 1 года;
regional-kirovskaia-oblast;regional;regional;Кировская область;;Региональная программа по повышению рождаемости: Кировская область;full;available;период не установлен;undated;106;5275823;c2fef33c7058805f616f8e418609f2be737534380e461ae754277fb87d97914e;Кировской области.pdf;./documents/strategies/regional/regional-kirovskaia-oblast.pdf;;;Постановление Правительства Кировской области от 30 июня 2023 г. № 348-П;25 декабря 2024 года;
regional-kostromskaia-oblast;regional;regional;Костромская область;;Региональная программа по повышению рождаемости: Костромская область;full;available;2023-2025 годы;historical;99;7751942;585533b666694138b43563b0539e459ec56b118c395b335c820ecc731f703078;Костромской области на период 2023-2025 годов.pdf;./documents/strategies/regional/regional-kostromskaia-oblast.pdf;;;Распоряжение Администрации Костромской области от 30 июня 2023 г. № 145-ра;;
regional-krasnodarskii-krai;regional;regional;Краснодарский край;;Региональная программа по повышению рождаемости: Краснодарский край;full;available;период не установлен;undated;96;4754818;06d655e4a4dcdfdc60d61b00cf9f46d83b5799f93ca992b5f914821b7ce385ab;Краснодарском крае.pdf;./documents/strategies/regional/regional-krasnodarskii-krai.pdf;;;Постановление Губернатора Краснодарского края от 29 июня 2023 г. № 417;27 марта 2025 года;
regional-krasnoiarskii-krai;regional;regional;Красноярский край;;Региональная программа по повышению рождаемости: Красноярский край;full;available;2024-2027 годы;active;98;9623316;1403161f25ea83f045cb30e79b8313bfa8e969cb1710ee5eb3954cb0d51a10d9;Красноярского края 2024 - 2027 годы.pdf;./documents/strategies/regional/regional-krasnoiarskii-krai.pdf;;;Распоряжение Правительства Красноярского края от 29 июня 2023 г. № 457-р;20 декабря 2024 года;
regional-kurganskaia-oblast;regional;regional;Курганская область;;Региональная программа по повышению рождаемости: Курганская область;full;available;до 2026 года;active;93;3723817;777f773fd97f2fe94c7bbcffe553108b49c71450ead4b35a9a0e4de0e3dbc5ee;Курганской области до 2026.pdf;./documents/strategies/regional/regional-kurganskaia-oblast.pdf;;;;;
regional-kurskaia-oblast;regional;regional;Курская область;;Региональная программа по повышению рождаемости: Курская область;full;available;до 2027 года;active;43;1250214;3f413f1713ff6b29e67eb34c9fba94033a0e1b554458a85426111cd69e33f419;Курской области на период до 2027 года.pdf;./documents/strategies/regional/regional-kurskaia-oblast.pdf;;;Постановление Администрации Курской области от 29 июня 2023 г. № 722-пп;21 апреля 2025 года;
regional-leningradskaia-oblast;regional;regional;Ленинградская область;;Региональная программа по повышению рождаемости: Ленинградская область;full;available;2024-2030 годы;active;193;14049175;9bd09bb56e481f8bb1f4b36e9d845bf120d13558a4f9de0fbb137cde82ba3d7e;Ленинградской области.pdf;./documents/strategies/regional/regional-leningradskaia-oblast.pdf;;;ПОСТАНОВЛЕНИЕ от 13 декабря 2024 года № 903;;
regional-lipetskaia-oblast;regional;regional;Липецкая область;;Региональная программа по повышению рождаемости: Липецкая область;full;available;2023-2027 годы;active;75;6190146;3638686c6f90498bcda1956805cd980b438cea1eea388e2b6c28355ca8c03467;Липецкой области на 2023 - 2027 годы.pdf;./documents/strategies/regional/regional-lipetskaia-oblast.pdf;;;Распоряжение Правительства Липецкой области от 27 июня 2023 г. № 609-р;20 декабря 2024 года;
regional-luganskaia-narodnaia-respublika;regional;regional;Луганская Народная Республика;;Региональная программа по повышению рождаемости: Луганская Народная Республика;missing;missing;период не установлен;undated;;0;;;;;;;;Документ по субъекту не представлен в переданном архиве.
regional-magadanskaia-oblast;regional;regional;Магаданская область;;Региональная программа по повышению рождаемости: Магаданская область;full;available;2024-2027 годы;active;36;1412897;58be9d4061ebe04dc3ed1b604ff2380b9a51053b2987a441324938adc34ae0c8;Магаданской области на период 2024-2027 годов.pdf;./documents/strategies/regional/regional-magadanskaia-oblast.pdf;;;Постановление Правительства Магаданской области от 30 июня 2023 г. № 458-пп;28 января 2025 года;
regional-moskva;regional;regional;Москва;;Региональная программа по повышению рождаемости: Москва;unavailable;unavailable;период не установлен;undated;;0;;Москва - Стану мамой (НЕТ ТЕКСТА).txt;;;;;;В архиве присутствует только пустая отметка о программе «Стану мамой».
regional-moskovskaia-oblast;regional;regional;Московская область;;Региональная программа по повышению рождаемости: Московская область;full;available;2024-2027 годы;active;70;3365273;5397d0769bde421a952822de58b25b0a2d34b825dd159419dcf022a98a9ce998;Московской области.pdf;./documents/strategies/regional/regional-moskovskaia-oblast.pdf;;;постановлением Правительства Московской области от 26.06.2023 № 441-ПП;;
regional-murmanskaia-oblast;regional;regional;Мурманская область;;Региональная программа по повышению рождаемости: Мурманская область;full;available;период не установлен;undated;81;5719908;55fa256a11e60ed6fd8e064db5f34a2d59ea470e9f9655a493e0093076ce706d;МУРМАНСКОЙ ОБЛАСТИ.pdf;./documents/strategies/regional/regional-murmanskaia-oblast.pdf;;;Постановление Правительства Мурманской области от 28 июня 2023 г. № 469-ПП;19 декабря 2024 года;
regional-nenetskii-avtonomnyi-okrug;regional;regional;Ненецкий автономный округ;;Региональная программа по повышению рождаемости: Ненецкий автономный округ;unavailable;unavailable;период не установлен;undated;;0;;Ненецкий автономный округ (НЕТ ТЕКСТА).txt;;;;;;В архиве присутствует только пустая отметка «нет текста».
regional-nizhegorodskaia-oblast;regional;regional;Нижегородская область;;Региональная программа по повышению рождаемости: Нижегородская область;full;available;2024-2027 годы;active;71;4863613;e4775ee9a334f25986bbb33aac3f810a0331b19aedfcad78909062439edc5468;Нижегородской области 2024 - 2027 годы.pdf;./documents/strategies/regional/regional-nizhegorodskaia-oblast.pdf;;;Постановление Правительства Нижегородской области от 25 декабря 2024 г. № 848;;
regional-novgorodskaia-oblast;regional;regional;Новгородская область;;Региональная программа по повышению рождаемости: Новгородская область;full;available;2023-2025 годы;historical;53;5785985;71e23281d6a6750f1f543759a5bbbde860abf1105089c80890d806a96206e73f;Новгородской области на 2023 - 2025 годы.pdf;./documents/strategies/regional/regional-novgorodskaia-oblast.pdf;;;Распоряжение Правительства Новгородской области от 29 июня 2023 г. № 324-рг;6 марта 2024 года;
