document_id;scope;territory;quality;token_count;reliability;cash_support_matches;cash_support_per_10000_words;housing_matches;housing_per_10000_words;childcare_matches;childcare_per_10000_words;reproductive_health_matches;reproductive_health_per_10000_words;student_families_matches;student_families_per_10000_words;large_families_matches;large_families_per_10000_words;work_family_balance_matches;work_family_balance_per_10000_words;employers_matches;employers_per_10000_words;fatherhood_matches;fatherhood_per_10000_words;family_values_matches;family_values_per_10000_words;rural_territories_matches;rural_territories_per_10000_words;monitoring_matches;monitoring_per_10000_words
regional-cheliabinskaia-oblast;regional;Челябинская область;partial;1413;limited;16;113,23;12;84,93;0;0,0;0;0,0;4;28,31;6;42,46;0;0,0;0;0,0;0;0,0;2;14,15;0;0,0;0;0,0
regional-chechenskaia-respublika;regional;Чеченская Республика;full;8568;standard;13;15,17;13;15,17;27;31,51;44;51,35;2;2,33;8;9,34;3;3,5;0;0,0;0;0,0;0;0,0;7;8,17;3;3,5
regional-chuvashskaia-respublika-chuvashiia;regional;Чувашская Республика — Чувашия;full;25063;standard;38;15,16;60;23,94;154;61,45;46;18,35;14;5,59;60;23,94;12;4,79;3;1,2;0;0,0;10;3,99;11;4,39;6;2,39
regional-chukotskii-avtonomnyi-okrug;regional;Чукотский автономный округ;full;13771;standard;38;27,59;43;31,23;34;24,69;54;39,21;8;5,81;21;15,25;5;3,63;0;0,0;2;1,45;6;4,36;14;10,17;7;5,08
regional-iamalo-nenetskii-avtonomnyi-okrug;regional;Ямало-Ненецкий автономный округ;full;23994;standard;100;41,68;94;39,18;91;37,93;51;21,26;15;6,25;83;34,59;7;2,92;1;0,42;3;1,25;13;5,42;19;7,92;11;4,58
regional-iaroslavskaia-oblast;regional;Ярославская область;full;8201;standard;11;13,41;17;20,73;4;4,88;20;24,39;5;6,1;7;8,54;0;0,0;0;0,0;4;4,88;9;10,97;5;6,1;9;10,97
municipal-krasnodar;municipal;Краснодар;full;10346;standard;31;29,96;44;42,53;32;30,93;21;20,3;2;1,93;32;30,93;11;10,63;1;0,97;1;0,97;4;3,87;4;3,87;5;4,83
municipal-yaroslavl;municipal;Ярославль;full;3892;standard;7;17,99;20;51,39;3;7,71;0;0,0;1;2,57;2;5,14;0;0,0;3;7,71;1;2,57;10;25,69;0;0,0;1;2,57
municipal-tyumen;municipal;Тюмень;full;7297;standard;6;8,22;65;89,08;27;37,0;2;2,74;1;1,37;13;17,82;5;6,85;0;0,0;1;1,37;2;2,74;0;0,0;3;4,11
federal-national-goals-2036;federal;Российская Федерация;full;3114;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
federal-national-security;federal;Российская Федерация;full;2321;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
federal-science-technology;federal;Российская Федерация;full;2838;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
federal-spatial-development;federal;Российская Федерация;full;15051;standard;0;0,0;31;20,6;1;0,66;1;0,66;0;0,0;1;0,66;0;0,0;0;0,0;0;0,0;0;0,0;13;8,64;19;12,62
federal-regional-leaders-kpi;federal;Российская Федерация;full;801;limited;0;0,0;1;12,48;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;7;87,39
federal-demographic-concept-2025;federal;Российская Федерация;full;2594;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
federal-demographic-plan-2021-2025;federal;Российская Федерация;full;5017;standard;0;0,0;3;5,98;9;17,94;9;17,94;1;1,99;0;0,0;0;0,0;2;3,99;2;3,99;8;15,95;0;0,0;3;5,98
federal-family-policy-concept-2025;federal;Российская Федерация;full;5919;standard;7;11,83;19;32,1;18;30,41;6;10,14;1;1,69;12;20,27;4;6,76;3;5,07;5;8,45;12;20,27;0;0,0;6;10,14
federal-family-demographic-strategy-2036;federal;Российская Федерация;full;9860;standard;28;28,4;21;21,3;9;9,13;19;19,27;6;6,09;40;40,57;4;4,06;8;8,11;5;5,07;23;23,33;25;25,35;7;7,1
federal-traditional-values;federal;Российская Федерация;full;2513;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
federal-demographic-policy-measures;federal;Российская Федерация;full;2447;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
federal-large-family-support;federal;Российская Федерация;full;2408;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
methodology-demographic-potential;federal;Российская Федерация;full;10614;standard;3;2,83;40;37,69;48;45,22;46;43,34;7;6,6;13;12,25;11;10,36;3;2,83;0;0,0;2;1,88;9;8,48;17;16,02
methodology-birth-targets;federal;Российская Федерация;full;2962;standard;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;9;30,38
methodology-program-update;federal;Российская Федерация;full;5101;standard;18;35,29;11;21,56;5;9,8;11;21,56;6;11,76;13;25,49;1;1,96;4;7,84;0;0,0;8;15,68;10;19,6;11;21,56
